street,city,County,State,zip,x,y
1500 Forest Glen Road,Silver Spring,Montgomery,Maryland,20910,-77.0359,39.0158
4958 Hwy 167,Hubertus,Washington,Wisconsin,53033,-88.27819620000001,43.2513473
525 W. Cook Rd.,Mansfield,Richland,Ohio,44907,-82.53528100000001,40.732527000000005
210 Whiting Farms Road,Holyoke,Hampden,Massachusetts,01040,-72.6404,42.1781
330 Whitney Ave.,Holyoke,Hampden,Massachusetts,01040,-72.6451,42.1696
21078 Three Notch Road,Lexington Park,St. Mary's,Maryland,20653,-76.422028,38.2466343
321 West 2nd Avenue,Milan,Rock Island,Illinois,61264,-90.5707,41.4525
812 5th Avenue,Tuscaloosa,Tuscaloosa,Alabama,35401,-87.542681,33.207303
40 South Main Street,Homer,Cortland,New York,13077,-76.17873809999999,42.635317
109 East Leigh street (M-60),Homer,Calhoun,Michigan,49245,-84.8066,42.1465
Ocean Drive,Homer,Kenai Peninsula,Alaska,99603,-151.512342,59.638109
400 Jay Street,Katonah,Westchester,New York,10536,-73.658781,41.247966999999996
4125 V Street,Homestead,Iowa,Iowa,52236,-91.8777,41.7613
12690 SW 280 ST,Homestead,Miami-Dade,Florida,33033,-80.395503,25.506270999999998
Rural Delivery 1,Tamaqua,Schuylkill,Pennsylvania,18252,-75.469,40.6116
West and Walton Streets,Warrenton,Warren,Missouri,63383,-91.15118199999999,38.810187
"Homewood Ski Resort, Parking Lot of Hwy. 89",Homewood,Placer,California,96141,-120.169,39.0978
2020 Chestnut Rd,Homewood,Cook,Illinois,60430,-87.66676700000001,41.563148
Old Botelho Bldg.,Honokaa,Hawaii,Hawaii,96727,-155.08700000000002,19.7263
"Blaisdell Concert Hall Lawn, 777 Ward Avenue",Honolulu,Honolulu,Hawaii,96814,-157.852,21.2992
10579 Main Street,Honor,Benzie,Michigan,49640,-86.02277600000001,44.665207
5th Street & Columbia Street,Hood River,Hood River,Oregon,OR,-121.51581399999999,45.710094
Hoopa Shopping Center,Hoopa,Humboldt,California,95546,-123.677,41.0492
80 Church Street,Hoosick Falls,Rensselaer,New York,12090,-73.351968,42.899451
415 Wellington Place,HOpe,Bonner,Idaho,83836,-116.29700000000001,48.2417
412 Comal ,Austin,Travis,Texas,78702,-97.7272423,30.261929100000003
Corner of 3rd and Elm Streets,Hope,Hempstead,Arkansas,71801,-93.592601,33.667057
1059 Hope Street,Providence ,Providence,Rhode Island,02906,-71.39151,41.854673
16 9th Ave S,Hopkins,Hennepin,Minnesota,55343,-93.41175,44.923770000000005
33 14th Avenue North,Hopkins,Hennepin,Minnesota,55343,-93.41710400000001,44.925619
110 West 9th Street,Hopkinsville,Christian,Kentucky,42240,-87.489238,36.865922999999995
Main Street and Ash Street,Hopkinton,Middlesex,Massachusetts,01748,-71.51777,42.229299
South Hubbard Street,Horicon,Dodge,Wisconsin,53032,-88.630314,43.442434999999996
Broadway street,Hornell,Steuben,New York,14843,-77.6601,42.3268
225 Broadway,San Diego,San Diego,California,92101,-117.162,32.715
215 Spring St,Hot Springs,Sanders,Montana,59845,-114.66884499999999,47.610329
Market Square,Houlton,Aroostook,Maine,04730,-67.84066999999999,46.1256
3106 White Oak - Onion Creek Coffee House (Saturday),Houston,Harris,Texas,78233,-95.3912,29.7816
Lone Star Plaza,Houston ,Texas,Missouri,65483,-91.9885525,37.3274644
1604 Stolpe Road,Hermann,Gasconade,Missouri,65041,-91.62784599999999,38.625592
120 W. Edgerton Street,Howard City,Montcalm,Michigan,49329,-85.4701,43.397
110 South Washington Street,Nashville,Howard,Arkansas,71852,-93.8451,33.9426
9421 Frederick Rd.,Ellicott City,Howard,Maryland,21042,-76.838132,39.272605
5851 Robert Oliver Place,Columbia,Howard,Maryland,21045,-76.84724,39.2107
6600 Cradlerock Way,Columbia,Howard,Maryland,21045,-76.84676999999999,39.19042
Cedar Lane,Columbia,Howard,Maryland,21046,-76.88584300000001,39.213303
2350 Route 97,Glenwood,Howard,Maryland,21790,-77.026863,39.299768
3500 Block Woodbine Avenue,Baltimore,Baltimore City,Maryland,21207,-76.6970067,39.330582299999996
Town Park,Howe,Lagrange,Indiana,46746,-85.37899999999999,41.7227
State Street,Howell,Livingston,Michigan,48843,-83.9115,42.6029
123 E. Washington St.,Howell,Livingston,Michigan,48843,-83.931,42.6054
Hwy. 63,Hoxie,Lawrence,Arkansas,72433,-91.022,36.0453
1308 Main Street,Hoxie,Sheridan,Kansas,67740,-100.440135,39.358126
Bushman Street,Hattiesburg,Forrest,Mississippi,39401,-89.2886,31.3349
498 howard st.,spartanburg,Spartanburg,South Carolina,29306,-81.942413,34.956245
298 Magnolia Street,Spartanburg,Spartanburg,South Carolina,29306,-81.9366616,34.9543422
Wall street,spartanburg,Spartanburg,South Carolina,29306,-81.9327542,34.9485021
Hubbard Lake Road and Hubert Road,Hubbard Lake,Alpena,Michigan,49747,-83.58766899999999,44.859919
29240 state road 46 ,sorrento,Lake,Florida,32776,-81.472665,28.815663
Corner of Columbia and Sixth Streets,Hudson,Columbia,New York,12534,-73.783692,42.248656
Main St. and Aurora St.,Hudson,Summit,Ohio,44236,-81.44011,41.241401
504 Frontage Road,Hudson,St. Croix,Wisconsin,54016,-92.70325600000001,44.965783
3302 Prospect Street,Hudsonville,Ottawa,Michigan,49426,-85.864407,42.867745
604 South F St.,Hugo,Choctaw,Oklahoma,74743,-95.5195,34.0041
2051 Huguenot Road,Richmond,Chesterfield,Virginia,23235,-77.610398,37.519515999999996
4726 North Oak,Spokane,Spokane,Washington,99205,-117.43799999999999,47.701
"Downtown, Sumner Avenue and Taft Street",Humboldt,Humboldt,Iowa,50548,-94.21685500000001,42.721103
1020 E. Huning,Show Low,Navajo,Arizona,85901,-110.031,34.2503
"111 Mine Street, Route 12 Circle",Flemington,Hunterdon,New Jersey,08822,-74.871204,40.504973
200 Gilead Rd.,Huntersville,Mecklenburg,North Carolina,28078,-80.846947,35.411429999999996
West Hunting Park Avenue and Old York Road,Philadelphia,Philadelphia,Pennsylvania,19140,-75.14704,40.016712
507 North Main Street,Huntingburg,Dubois,Indiana,47542,-86.95513000000001,38.298629999999996
842 Penn Street,Huntingdon,Huntingdon,Pennsylvania,16652,-78.01723,40.485653000000006
3401 East Florence Avenue,Huntington Park,Los Angeles,California,90255,-118.204828,33.972982
350 Hauenstein Rd,Huntington,Huntington,Indiana,46750,-85.5204,40.8955
10987 Main Street,Huntley,McHenry,Illinois,60142,-88.4104963,42.167527899999996
Southern Blvd & Est 163rd Street,Bronx,Bronx,New York,10451,-73.89166999999999,40.82099
1100 University Avenue,Huntsville,Walker,Texas,77340,-95.550467,30.723087
7010 E. Raymond Street,Indianapolis,Decatur,Indiana,46239,-86.0437,39.7415
3rd. Street and Lincoln Ave,Huron,Beadle,South Dakota,57350,-98.234197,44.363174
300 W. Livingston,Highland Twp.,Oakland,Michigan,48357,-83.620666,42.638315999999996
25 Adams Street SE,Hutchinson,McLeod,Minnesota,55350,-94.364513,44.892092
420 US Hwy 79,Hutto,Williamson,Texas,78634,-97.550922,30.543434
468 Main Street,Hyannis,Barnstable,Massachusetts,02601,-70.287051,41.651431
3799 East West Highway,Hyattsville,Prince George's,Maryland,20782,-76.949848,38.965951000000004
south park,Highmore,Hyde,South Dakota,57345,-99.441501,44.514029
5211 S. Harper Ave.,Chicago,Cook,Illinois,60602,-87.6046,41.8006
Hyde Park Ave and River Street,Hyde Park,Suffolk,Massachusetts,02136,-71.12424399999999,42.255728000000005
Erie Avenue between Edwards Rd. and Michigan Ave.,Cincinnati,Hamilton,Ohio,45208,-84.44259,39.139534999999995
300 Elliot Ave.,Hysham,Treasure,Montana,59038,-107.233171,46.293208
301 South 2nd Street,Odessa,Lawrence,Missouri,64076,-93.954661,39.006149
I-71 Rest Area at signpost 224,Brunswick,Medina,Ohio,44212,-81.792526,41.222229
2nd Street,Ida Grove,Ida,Iowa,51445,-95.470874,42.345172999999996
108 North Central Main Street,Idabel,McCurtain,Oklahoma,74745,-94.8236,33.8942
501 West Broadway,Idaho Falls,Bonneville,Idaho,83402,-112.04299999999999,43.4922
2600 Glenwood Ave,Youngstown,Mahoning,Ohio,44511,-80.675689,41.073612
26100 Highway 243,Idyllwild,Riverside,California,92549,-116.715,33.745
"437 otsego street ,state route 51s",ilion,Herkimer,New York,13357,-75.04456,43.001179
"801 Sangamon Avenue, IL State Fairgrounds","Springfield, IL ",Sangamon,Illinois,62702,-89.63707600000001,39.834131
2744 W 63rd,Chicago,Cook,Illinois,60629,-87.692662,41.779261
120 N Main,Imlay City,Lapeer,Michigan,48444,-83.074322,43.02429
10 Evergreen Avenue,Imperial Beach,San Diego,California,91932,-117.131973,32.579555
100 West First Street,Independence,Buchanan,Iowa,50644,-91.8950212,42.468723700000005
302 Main St.,Independence,Polk,Oregon,97351,-123.184,44.8511
Corner of Hwy 75 and Peter Pan Rd.,Independence,Montgomery,Kansas,67301,-95.7425,37.2256
corner of HWY21 and HWY 58,Independence,Grayson,Virginia,24348,-81.15175699999999,36.622170000000004
5272 Madison pike,Independence,Kenton,Kentucky,41051,-84.543717,38.942928
3945 N Springfield Ave.,Chicago,Cook,Illinois,60618,-87.72504,41.952690000000004
"3435 S. Straits Hwy, Chamber parking lot,",Indian River,Cheboygan,Michigan,49749,-84.6122,45.4121
Main Street and Penn Avenue,Telford,Montgomery,Pennsylvania,18969,-75.32905,40.32515
Hwy 92 at Fairground west gate,Indianola,Warren,Iowa,50125,-93.5682,41.3593
112 Martin Luther King Blvd (Highway 49 S),Indianola,Sunflower,Mississippi,38751,-90.632722,33.456043
"1125 E. Brookside Ave., Circle City Industrial Complex",Indianapolis,Marion,Indiana,46202,-86.137726,39.781728
Manchester Blvd and Market Street,Inglewood,Los Angeles,California,90301,-118.351925,33.961209999999994
6233 Old Baton Rouge Hwy ,Alexandria ,Rapides,Louisiana,71302,-92.424126,31.23258
1325 8th Avenue,San Francisco,San Francisco,California,94122,-122.465774,37.763636
2112 M-137,Interlochen,Grand Traverse,Michigan,49643,-85.7678865,44.6570752
105 Mulberry St (Perkins Field),Warner Robins,Houston,Georgia,31093,-83.61041999999999,32.618882
N. Interstate Ave & N. Lombard St.,Portland,Multnomah,Oregon,97217,-122.68299999999999,45.5774
Veterans Memorial Community Center parking lot,Inver Grove Heights,Dakota,Minnesota,55077,-93.064,44.8322
Isham St - Seaman & Cooper,New York,New York,New York,10034,-73.919942,40.868272
South Steele Street and Adams Street,Ionia,Ionia,Michigan,48846,-85.06772609999999,42.9814841
220 S. Gilbert St.,Iowa City,Johnson,Iowa,52240,-91.529299,41.659824
River Halls Mall,Iowa Falls,Hardin,Iowa,50126,-93.2624,42.5122
36 S. Main St.,Ipswich,Essex,Massachusetts,01938,-70.836881,42.677911
13420 N 10th Ave,Hurley,Iron,Wisconsin,54559,-90.19341899999999,46.462202000000005
City Parking Lot on East A Street,Iron Mountain,Dickinson,Michigan,49801,-88.0664,45.8183
400 South Main Street,Poplar Bluff,Butler,Missouri,63901,-90.393621,36.753732
1906 1st Ave N,Irondale,Jefferson,Alabama,35210,-86.7083,33.5388
1280 Titus Avenue,Rochester,Monroe,New York,14617,-77.5819225,43.211763700000006
24218 S Oakwood Blvd,Sun Lakes,Maricopa,Arizona,85248,-111.872331,33.227677
Bonita Canyon and Turtle Ridge Road,Irvine,Orange,California,92603,-117.831346,33.633188
1 Irvine Park Road,Orange,Orange,California,92862,-117.7587735,33.7987107
101 Main St. ,Irvington,Westchester,New York,10533,-73.8667554,41.0390494
5301 E. St. Clair Street (East Side Indy),Indianapolis,Marion,Indiana,46219,-86.0782,39.7776
NE 16th Avenue (between Broadway & Weidler),Portland,Multnomah,Oregon,97212,-122.649445,45.534667
40900 Chapel Way,Fremont,Alameda,California,94538,-121.96358670000001,37.532942600000005
410 Livonia Ave,Brooklyn,Kings,New York,11212,-73.9023367,40.6634995
101000 overseas highway,Key Largo ,Monroe,Florida,33037,-80.4272178,25.1092141
7200 Mack Ave,Detroit,Wayne,Michigan,48214,-83.0124046,42.3642211
300 Main Road,Islesboro,Waldo,Maine,04848,-68.9015,44.3029
1730 10th Ave N.W.,Issaquah,King,Washington,98027,-122.04911499999999,47.550637
201 West Main Street,Fulton,Itawamba,Mississippi,38843,-88.419874,34.274265
Center St,Ithaca,Gratiot,Michigan,48847,-84.607979,43.291365
DeWitt Park,Ithaca,Tompkins,New York,14851,-76.49877959999999,42.441798799999994
"Steamboat Landing, 545 Third St. off Rt 13, Ithaca",Ithaca,Tompkins,New York,14851,-76.509434,42.450833
1245 Grandview Ridge Road,Red House,Putnam,West Virginia,25168,-81.855374,38.577081
North end of Main Street,Ivanhoe,Lincoln,Minnesota,56142,-96.246607,44.465196999999996
3700 Woodland,Kansas City,Jackson,Missouri,64109,-94.5627719,39.0591615
Ivoryton Village Green Corner of Main St and N Main St,Ivoryton,Middlesex,Connecticut,06442,-72.441649,41.348493
130 S. 3rd,Douglas,Converse,Wyoming,82633,-105.3845,42.75888
1015 Hogan Lane appt. 6,Waco,McLennan,Texas,76705,-97.105075,31.590965
"City Park off Independence Street, Band Shell parking lot",Jackson,Cape Girardeau,Missouri,63755,-89.67315699999999,37.39263
365 Welchburg Egypt Road,Tyner,Jackson,Kentucky,40486,-83.9053,37.318000000000005
McGraw Street,Ripley,Jackson,West Virginia,25271,-81.723175,38.820668
Jackson County Fair Ground,Pascagoula,Jackson,Mississippi,39568,-88.8309,30.6404
Railroad Avenue,Sylva,Jackson,North Carolina,28779,-83.225245,35.374379
Between 4th & 5th Streets,Holton,Jackson,Kansas,55436,-95.7452,39.4649
23 Central Avenue,Sylva,Jackson,North Carolina,28779,-83.224315,35.375518
Barton Street,Jackson,Cape Girardeau,Missouri,63755,-89.6671,37.3828
34 Ave - 77 & 78 Sts,Queens,Queens,New York,11372,-73.88921500000001,40.753353000000004
890 South Highway 89,Jackson ,Teton,Wyoming,83001,-110.792249,43.466381
Snow King Ave & King St.,Jackson,Teton,Wyoming,83001,-110.760896,43.472924
1611 NW 12th Avenue,Miami,Miami-Dade,Florida,33136,-80.21300000000001,25.7912
U.S. 41 and Maas Street,Negaunee,Marquette,Michigan,49866,-87.611951,46.513579
3500 W. Forest Home Ave.,Milwaukee ,Milwaukee,Wisconsin,53215,-87.963355,42.996957
1701 College Avenue,Jackson,Clarke,Alabama,36545,-87.893672,31.526751
206 Ladiga St ,JACKSONVILLE,Calhoun,Alabama,36265,-85.760351,33.813512
1810 West Beaver Street,Jacksonville,Duval,Florida,32209,-81.68830600000001,30.333982000000002
Central Park,Jacksonville,Morgan,Illinois,62650,-90.228951,39.735076
1400 Pelham Parkway,Bronx,New York,New York,10461,-73.8469,40.8541
26 Main Street (In front of police department),Jaffrey,Cheshire,New Hampshire,03452,-72.02312380000001,42.813965100000004
160th Street off Jamaica Ave.,Jamaica,Queens,New York,11433,-73.799557,40.704156
12 South Street,New Braintree,Suffolk,Massachusetts,01531,-72.045,42.3237
100 Block of North Main Street,Janesville ,Rock,Wisconsin,53545,-89.023327,42.683703
on Jackson St between 6th & 7th Streets,San Jose,Santa Clara,California,95112,-121.89299999999999,37.3498
501 W. 3rd St. N.,Newton,Jasper,Iowa,50208,-93.0564,41.7032
9935 South Jacob Smart Blv. (Hwy. 17 S.),Rigeland,Jasper,South Carolina,29936,-80.9802,32.4818
"Park and Ride, Stegall Drive",Jasper ,Pickens,Georgia,30143,-84.4343796,34.46747
Intersection of Hwys 190 and 96,Jasper,Jasper,Texas,75951,-93.99524699999999,30.911375
1077 Route 242,Jay,Orleans,Vermont,05859,-72.43969399999999,44.947632
6701 Hoover Road,Indianapolis,Marion,Indiana,46260,-86.17400400000001,39.879689
309 Jefferson Avenue,Rochester,Monroe,New York,14611,-77.62944399999999,43.148777
000 Main Street,Jefferson City,Cole,Missouri,00000,-92.19045899999999,38.571902
S.E. Regional Airport,Nederland,Jefferson,Texas,77640,-93.9499,29.8912
"344 Finley Ave., West",Birmingham,Jefferson,Alabama,35204,-86.83628,33.54057
Highway 151,Jefferson,Chesterfield,South Carolina,29718,-80.3824,34.6717
Sycamore & Gordon Street,Jefferson,Jackson,Georgia,30549,-83.572906,34.117327
East Racine Street and South Center Avenue,Jefferson,Jefferson,Wisconsin,53549,-88.806147,43.005010999999996
32 E. Jefferson St.,Jefferson,Ashtabula,Ohio,44047,-80.7674,41.7373
Chestnut St. between 9th St. & 10th St.,Philadelphia,Philadelphia,Pennsylvania,19107,-75.15638100000001,39.95004
7475 Clark State Road,Blacklick,Franklin,Ohio,43004,-82.8005,40.0438
10416 Watterson Trail,Jeffersontown,Jefferson,Kentucky,40299,-85.5662623,38.193737799999994
Corner of Chestnut Street and Locust Street,Jeffersonville,Clark,Indiana,47130,-85.737895,38.272746999999995
276 Main St. ,Jeffersonville,Lamoille,Vermont,05464,-72.828479,44.646840999999995
703 Greenwood Ave,Jenkintown,Montgomery,Pennsylvania,19046,-75.1268,40.0953
North Vernon City Park,North Vernon,Jennings,Indiana,47265,-85.6389,39.013000000000005
"Mills Riverside Park, Route 15",Jericho,Chittenden,Vermont,05465,-72.947942,44.516805
195 Vermont Route 15,Jericho,Chittenden,Vermont,05465,-72.972879,44.50997
Plaza Drive between 170th & Elliot Place,New York,Bronx,New York,10452,-73.9164,40.839
Smithville on The Village Green,Smithville,Atlantic,New Jersey,08205,-74.4585,39.4938
105 N. Liberty Street,Jerseyville,Jersey,Illinois,62052,-90.330641,39.118583
Land of Corn Park,Jesup,Buchanan,Iowa,50648,-91.9039,42.6781
E. 10th St,Jim Thorpe,Carbon,Pennsylvania,18229,-75.726,40.8784
1464 E. Main Street,Alice ,Jim Wells,Texas,78332,-98.056203,27.756638
255 Grant Street,Chambersburg,Franklin,Pennsylvania,17201,-77.6577,39.9414
"US Hwy 93, next to the Hangin Art Gallery",Arlee,Lake,Montana,59821,-114.084198,47.161029
SW Brent Drive,John Day,Grant,Oregon,97845,-118.954,44.416000000000004
1130 N 186TH DR,Goodyear ,Maricopa,Arizona,85338,-112.461226,33.460301
1900 McElderry Street,Baltimore,Baltimore City,Maryland,21205,-76.5908,39.2974
3546 Maybank Highway,Johns Island ,Charleston,South Carolina,29455,-80.07849499999999,32.723233
State of Franklin & South Roan Street,Johnson City,Washington,Tennessee,37601,-82.3501,36.316198
110 Court St.,Mountain City,Johnson,Tennessee,37683,-81.80561999999999,36.475769
826 F.M. Stafford Avenue,Paintsville,Johnson,Kentucky,41240,-82.798011,37.807953000000005
400 Cabin Creek Road,Lamar,Johnson,Arkansas,72846,-93.3942,35.4408
100 Main Street,Johnson,Lamoille,Vermont,05656,-72.6783,44.6348
"1410 S. Brightleaf Blvd., (Hwy 301)",Smithfield,Johnston,North Carolina,27577,-78.3464,35.5023
Corner of NW 62nd Avenue & Merle Hay Road,Johnston,Polk,Iowa,50131,-93.69703,41.67354
Parking Lot Between Church and Main Street,Johnstown,Fulton,New York,12095,-74.373801,43.006593
S. Main Street and Coshocton St.,Johnstown,Licking,Ohio,43031,-82.68485600000001,40.153858
Charlotte St. and Parish Ave.,Johnstown,Weld,Colorado,80534,-104.85448570000001,40.3301322
Broad Street and Francis St.,Milliken,Weld,Colorado,80543,-104.85448570000001,40.3301322
Chicago Street from Van Buren to Jefferson Street,Joliet,Will,Illinois,60432,-88.0815,41.5254
1215 S. Houbolt Road,Joliet,Will,Illinois,60431,-88.169703,41.499835
E. Highland Drive,Jonesboro,Poinsett,Arkansas,72401,-90.6608,35.8211
155 Lee Street,Jonesboro,Clayton,Georgia,30236,-84.35696300000001,33.522926
105 Courthouse Square,Jonesborough,Washington,Tennessee,37659,-82.4728498,36.2940568
162 Main St.,Jonesport,Washington,Maine,04649,-67.60489009999999,44.531535600000005
212 West 8th Street,Joplin,Jasper,Missouri,64801,-94.51479,37.082803999999996
2305 Neuse Blvd.,New Bern,Craven,North Carolina,28561,-77.0727512,35.115429
185 Williamson Rd,Mooresville,Iredell,North Carolina,28117,-80.872097,35.591232
61651 Twentynine Palms Highway,Joshua Tree,San Bernardino,California,92252,-116.3182535,34.1349431
Hwy  34 & Hwy 85,Belle Fourche,Butte,South Dakota,57717,-103.869896,44.656932
978 B South Live Oak Drive,Moncks Corner,Berkeley,South Carolina,29461,-80.03814100000001,33.172874
9703 NE Juanita Drive,Kirkland,King,Washington,98033,-122.215648,47.704924
750 East St.  John Street,San Jose,Santa Clara,California,95112,-121.8764148,37.3449
4801 Watkins Drive,Jackson,Hinds,Mississippi,39206,-90.192756,32.367615
8th & Jefferson,Junction City,Geary,Kansas,66441,-96.8314,39.0303
6th & Adams,Junction City,Geary,Kansas,66441,-96.8333,39.0282
Courthouse Square,Juneau,Dodge,Wisconsin,53039,-88.7035,43.407
350 Whittier,Juneau,Juneau,Alaska,99801,-134.4136,58.299893000000004
In front of Ace Hardware,Na`alehu,Hawaii,Hawaii,96772,-155.575,19.0646
21 South Kainalu Drive,Kailua,Honolulu,Hawaii,96734,-157.7380124,21.3945423
"Kailua Town Center, 609  Kailua Road",Kailua,Honolulu,Hawaii,96734,-157.74200000000002,21.3941
315 Kuulei St,Kailua ,Honolulu,Hawaii,96734,-157.74153700000002,21.395567899999996
39400 Paseo Padre Parkway,Fremont,Alameda,California,94538,-121.97504280000001,37.551977799999996
27400 Hesperian Blvd,Hayward,Alameda,California,94545,-122.09496580000001,37.6306054
13652 Cantara Street,Panorama City,Los Angeles,California,91402,-118.43006399999999,34.220674
5601 De Soto Avenue,Woodland Hills,Los Angeles,California,91367,-118.58972,34.170913
3801 Howe Street,Oakland,Alameda,California,94607,-122.2565166,37.824622600000005
3440 E. La Palma Ave,Anaheim,Orange,California,92806,-117.844815,33.852659
7300 N. Fresno Street,Fresno,Fresno,California,93720,-119.78147,36.843189
710 Lawrence Expressway,Santa Clara,Santa Clara,California,95051,-121.9985712,37.3363589
3553 Whipple Road,Union City,Alameda,California,94587,-122.08323519999999,37.6056764
Veterans Blvd. and Maple St.,Redwood City,San Mateo,California,94063,-122.222647,37.48899
Geary St. and St. Joseph Ave.,San Francisco,San Francisco,California,94115,-122.44293400000001,37.782694
25825 S. Vermont Avenue,Harbor City,Los Angeles,California,90710,-118.29373799999999,33.790081
1200 El Camino Real,South San Francisco ,San Mateo,California,94080,-122.43948,37.658875
1050 Ala Moana Blvd,Honolulu,Honolulu,Hawaii,96814,-157.855564,21.294941
Paplina Road off Kaumualli,Kalaheo,Kauai,Hawaii,96741,-159.52700000000002,21.9251
1204 Bank St,Kalamazoo,Kalamazoo,Michigan,49001,-85.575221,42.279434
1911 Kam IV Road,Honolulu,Honolulu,Hawaii,96819,-157.86995,21.344696
Center Street and Fifth Avenue,Kalispell,Flathead,Montana,59903,-114.306,48.2
353 S. Cedar,Kalkaska,Kalkaska,Michigan,49646,-85.178275,44.730628
Kamas Rodeo Grounds,Kamas,Summit,Utah,84036,-111.281,40.643
1400 Kalihi Street,Honolulu,Honolulu,Hawaii,96822,-157.871842,21.334995000000003
16906 Albers Ave.,Cleveland ,Cuyahoga,Ohio,44111,-81.81497399999999,41.449328
67-139 Pukalani Road,Kamuela,Hawaii,Hawaii,96743,-155.662467,20.016964
78 S. 100 E.,Kanab,Kane,Utah,84741,-112.5267,37.04661
45-660 Keaahala Road,Kaneohe,Honolulu,Hawaii,96814,-157.80983600000002,21.409885
805 N. Kennedy Dr.,Kankakee,Kankakee,Illinois,60901,-87.8785,41.1298
200 S Schuyler Ave,Kankakee,Kankakee,Illinois,60901,-87.863989,41.118811
200 E. Merchant St.,Kankakee,Kankakee,Illinois,60901,-87.86395,41.11913
7001 W 21st St N,Wichita,Sedgwick,Kansas,67205,-97.425572,37.722685
8141 E 21st St N ,Wichita,Sedgwick,Kansas,67206,-97.242456,37.722703
611 N Mulberry Rd,Derby,Sedgwick,Kansas,67037,-97.248313,37.548377
Kahau Road,Kapaa,Kauai,Hawaii,96746,-159.321,22.0764
91-1049 Kamaaha Loop,Kapolei,Honolulu,Hawaii,96707,-158.06852,21.333433
3-1901 Kaumualii Highway,Lihue,Kauai,Hawaii,96766,-159.39648200000002,21.967037
Kukuiula Shopping Village,Koloa ,Kauai,Hawaii,96756,-159.469167,21.906667000000002
 700 Kalihi Street,Honolulu,Honolulu,Hawaii,96819,-157.877933,21.327477
1/4 mile East of Holmes Road on Red Bridge Road,Kansas City,Jackson,Missouri,64114,-94.575908,38.924954
4303 Diamond Head Road,Honolulu,Honolulu,Hawaii,96816,-157.799,21.268
Argentine Ln.,Kansas City,Wyandotte,Kansas,66112,-94.7502769,39.1216341
2220 Central Ave,Kansas City,Wyandotte,Kansas,66102,-94.65493000000001,39.108138000000004
6th and barnett kck,Kansas City,Wyandotte,Kansas,66101,-94.624191,39.112355
16-0550 Olld Volcano Road,Keaau,Hawaii,Hawaii,96749,-155.039,19.6258
4700 2nd Ave,Kearney,Buffalo,Nebraska,68847,-99.08495699999999,40.720936
5011 N 2nd Ave,Kearney ,Buffalo,Nebraska,68847,-99.081703,40.724882
"78-6831 Alii Dr, Kailua-Kona, HI 96740",Kahaluu-Keauhou ,Hawaii,Hawaii,96740,-155.961611,19.570129
6001 Hwy. 48 N,Dickson ,Hickman,Tennessee,37055,-87.4769689,35.943622
Rt. 73 at Marcy Airfield,Keene,Essex,New York,12944,-73.786935,44.222025
1721 Front St.,Keeseville,Essex,New York,12944,-73.48092700000001,44.50443
Elepaio Road,Kekaha,Kauai,Hawaii,96752,-159.718,21.9704
64-604 Mana Rd,Kamuela,Hawaii,Hawaii,96743,-155.63062,20.026707000000002
1100 Bear Creek Parkway,Keller,Tarrant,Texas,76244,-97.227,32.9305
Highway 29 & Thomas Dr.,Kelseyville,Lake,California,95451,-122.876,38.9971
351 Three Rivers Mall Drive,Kelso ,Cowlitz,Washington,98626,-122.87716100000002,46.127435
204 FM 2094,Kemah,Galveston,Texas,77565,-95.0212,29.54093
800 Pine Ave,Kemmerer ,Lincoln,Wyoming,83101,-110.537704,41.794574
11471 Kenai Spur Hwy,Kenai,Kenai Peninsula,Alaska,99611,-151.261,60.555
South Main Street in downtown Kendallville,Kendallville,Noble,Indiana,46755,-85.265532,41.443153
800 Kenilworth Drive,Towson,Baltimore,Maryland,21209,-76.61928499999999,39.410824
2919 Delaware Ave at Delaware Rd.,Kenmore,Erie,New York,14217,-78.8698,42.9633
"Lafayette Center, 4 Main St",Kennebunk,York,Maine,04043,-70.542994,43.385652
" Bradford Ave in Fall River, MA",Fall River,Bristol,Massachusetts,02721,-71.171236,41.695283
1 w. Chester Street,Long Beach,Nassau,New York,11561,-73.6659437,40.58941420000001
2820 Cherokee Street ,Kennesaw,Cobb,Georgia,30144,-84.614587,34.0234
Court House Square,Kennett,Dunklin,Missouri,63857,-90.0562,36.2368
101 East State Street,Kennett Square,Chester,Pennsylvania,19348,-75.71158,39.84707
23 West Kennewick Avenue,Kennewick,Benton,Washington,99336,-119.117,46.2087
Baker Park,Kenosha,Kenosha,Wisconsin,53143,-87.8206,42.5752
Columbus Park,Kenosha,Kenosha,Wisconsin,53143,-87.8342,42.5859
Lincoln Park,Kenosha,Kenosha,Wisconsin,53143,-87.8311,42.5709
Union Park,Kenosha,Kenosha,Wisconsin,53143,-87.8215,42.5952
2nd Avenue between 54th and 56th Streets,Kenosha ,Kenosha,Wisconsin,53140,-87.81395699999999,42.586622999999996
514 - 56th Street,Kenosha ,Kenosha,Wisconsin,53140,-87.81806,42.585196999999994
Howard Ave Train Station Parking Lot,Kensington,Montgomery,Maryland,20895,-77.07233199999999,39.026769
4570 Huron River Parkway,Milford,Oakland,Michigan,48380,-83.634008,42.551403
Ft. Hamilton Pkwy btwn E. 5th and E. 4th,Brooklyn,New York,New York,11218,-73.95,40.65
Downtown Kent at 4th & Smith Steet,Kent,King,Washington,98032,-122.23700000000001,47.3831
