buying,maint,doors,persons,lug_boot,safety,class_value,buying_target,maint_target,doors_target,persons_target,lug_boot_target,safety_target,class_value_target
vhigh,vhigh,5more,more,,high,unacc,vhigh,vhigh,5more,more,small,high,unacc
,vhigh,5more,more,med,low,unacc,vhigh,vhigh,5more,more,med,low,unacc
vhigh,vhigh,5more,more,med,med,unacc,vhigh,vhigh,5more,more,med,med,unacc
vhigh,vhigh,5more,,med,high,unacc,vhigh,vhigh,5more,more,med,high,unacc
vhigh,,5more,more,,low,unacc,vhigh,vhigh,5more,more,big,low,unacc
vhigh,,5more,more,,med,unacc,vhigh,vhigh,5more,more,big,med,unacc
vhigh,vhigh,,more,big,high,unacc,vhigh,vhigh,5more,more,big,high,unacc
vhigh,high,,2,,low,unacc,vhigh,high,2,2,small,low,unacc
vhigh,high,,2,small,med,,vhigh,high,2,2,small,med,unacc
,high,2,2,small,high,unacc,vhigh,high,2,2,small,high,unacc
,high,2,2,med,low,unacc,vhigh,high,2,2,med,low,unacc
vhigh,high,2,2,med,med,unacc,vhigh,high,2,2,med,med,unacc
vhigh,high,2,2,,high,,vhigh,high,2,2,med,high,unacc
vhigh,high,2,2,,low,unacc,vhigh,high,2,2,big,low,unacc
,high,2,2,big,med,unacc,vhigh,high,2,2,big,med,unacc
vhigh,high,2,2,big,high,unacc,vhigh,high,2,2,big,high,unacc
vhigh,high,2,,small,,,vhigh,high,2,4,small,low,unacc
vhigh,high,,4,small,med,unacc,vhigh,high,2,4,small,med,unacc
vhigh,,2,4,small,high,unacc,vhigh,high,2,4,small,high,unacc
vhigh,,2,4,med,low,unacc,vhigh,high,2,4,med,low,unacc
,,2,4,,med,,vhigh,high,2,4,med,med,unacc
vhigh,high,2,4,med,high,unacc,vhigh,high,2,4,med,high,unacc
vhigh,high,2,4,big,low,unacc,vhigh,high,2,4,big,low,unacc
vhigh,,2,4,big,med,,vhigh,high,2,4,big,med,unacc
vhigh,high,2,4,big,,unacc,vhigh,high,2,4,big,high,unacc
vhigh,high,,,small,low,unacc,vhigh,high,2,more,small,low,unacc
vhigh,high,2,,small,,unacc,vhigh,high,2,more,small,med,unacc
vhigh,,2,more,small,high,,vhigh,high,2,more,small,high,unacc
vhigh,high,2,more,med,low,unacc,vhigh,high,2,more,med,low,unacc
vhigh,,2,more,med,,unacc,vhigh,high,2,more,med,med,unacc
,high,2,more,,high,unacc,vhigh,high,2,more,med,high,unacc
,high,2,more,big,low,,vhigh,high,2,more,big,low,unacc
vhigh,high,2,more,big,med,unacc,vhigh,high,2,more,big,med,unacc
vhigh,,2,more,,high,unacc,vhigh,high,2,more,big,high,unacc
vhigh,high,3,2,small,low,unacc,vhigh,high,3,2,small,low,unacc
vhigh,high,,2,small,med,unacc,vhigh,high,3,2,small,med,unacc
vhigh,high,,2,,high,unacc,vhigh,high,3,2,small,high,unacc
vhigh,high,,,,low,,vhigh,high,3,2,med,low,unacc
vhigh,,,2,med,med,unacc,vhigh,high,3,2,med,med,unacc
vhigh,high,3,2,med,high,unacc,vhigh,high,3,2,med,high,unacc
vhigh,,,2,big,,unacc,vhigh,high,3,2,big,low,unacc
vhigh,high,,2,big,med,,vhigh,high,3,2,big,med,unacc
vhigh,high,3,2,big,high,unacc,vhigh,high,3,2,big,high,unacc
vhigh,high,,4,small,,unacc,vhigh,high,3,4,small,low,unacc
vhigh,high,3,,small,med,unacc,vhigh,high,3,4,small,med,unacc
,high,3,4,small,high,unacc,vhigh,high,3,4,small,high,unacc
vhigh,high,,,med,low,unacc,vhigh,high,3,4,med,low,unacc
vhigh,high,3,4,med,med,unacc,vhigh,high,3,4,med,med,unacc
vhigh,high,3,,med,high,unacc,vhigh,high,3,4,med,high,unacc
,high,3,4,big,low,unacc,vhigh,high,3,4,big,low,unacc
vhigh,,3,4,big,med,unacc,vhigh,high,3,4,big,med,unacc
,,3,4,big,high,unacc,vhigh,high,3,4,big,high,unacc
,high,3,more,small,,unacc,vhigh,high,3,more,small,low,unacc
,high,3,more,small,,unacc,vhigh,high,3,more,small,med,unacc
vhigh,,3,more,,,unacc,vhigh,high,3,more,small,high,unacc
vhigh,high,3,more,,low,unacc,vhigh,high,3,more,med,low,unacc
vhigh,high,3,more,med,,unacc,vhigh,high,3,more,med,med,unacc
vhigh,,3,more,med,high,unacc,vhigh,high,3,more,med,high,unacc
vhigh,high,3,more,big,low,,vhigh,high,3,more,big,low,unacc
vhigh,high,3,more,big,med,unacc,vhigh,high,3,more,big,med,unacc
,high,3,more,big,high,unacc,vhigh,high,3,more,big,high,unacc
vhigh,high,4,2,small,,,vhigh,high,4,2,small,low,unacc
vhigh,high,4,2,small,med,unacc,vhigh,high,4,2,small,med,unacc
vhigh,,,2,,high,,vhigh,high,4,2,small,high,unacc
vhigh,high,4,2,med,low,unacc,vhigh,high,4,2,med,low,unacc
vhigh,high,,2,,med,unacc,vhigh,high,4,2,med,med,unacc
vhigh,,4,2,med,,,vhigh,high,4,2,med,high,unacc
vhigh,high,4,,big,low,,vhigh,high,4,2,big,low,unacc
vhigh,high,,2,big,,unacc,vhigh,high,4,2,big,med,unacc
,,,2,big,high,,vhigh,high,4,2,big,high,unacc
,high,4,,small,low,unacc,vhigh,high,4,4,small,low,unacc
vhigh,high,4,4,small,med,unacc,vhigh,high,4,4,small,med,unacc
vhigh,high,4,,small,,unacc,vhigh,high,4,4,small,high,unacc
,high,4,4,med,low,unacc,vhigh,high,4,4,med,low,unacc
,high,4,4,med,med,unacc,vhigh,high,4,4,med,med,unacc
vhigh,high,,4,med,high,unacc,vhigh,high,4,4,med,high,unacc
vhigh,high,4,,big,low,unacc,vhigh,high,4,4,big,low,unacc
vhigh,,4,4,big,med,unacc,vhigh,high,4,4,big,med,unacc
vhigh,high,,,big,high,unacc,vhigh,high,4,4,big,high,unacc
,high,4,more,small,low,unacc,vhigh,high,4,more,small,low,unacc
vhigh,high,4,more,small,med,unacc,vhigh,high,4,more,small,med,unacc
,,4,more,small,high,unacc,vhigh,high,4,more,small,high,unacc
,,4,more,med,low,unacc,vhigh,high,4,more,med,low,unacc
vhigh,high,,,med,med,unacc,vhigh,high,4,more,med,med,unacc
,,,more,med,high,unacc,vhigh,high,4,more,med,high,unacc
vhigh,high,,more,big,,unacc,vhigh,high,4,more,big,low,unacc
vhigh,high,4,,big,med,unacc,vhigh,high,4,more,big,med,unacc
vhigh,high,4,more,,high,,vhigh,high,4,more,big,high,unacc
vhigh,high,5more,,small,,unacc,vhigh,high,5more,2,small,low,unacc
vhigh,high,5more,2,small,med,unacc,vhigh,high,5more,2,small,med,unacc
vhigh,,5more,,small,high,unacc,vhigh,high,5more,2,small,high,unacc
,high,5more,2,med,low,unacc,vhigh,high,5more,2,med,low,unacc
vhigh,high,,,med,med,unacc,vhigh,high,5more,2,med,med,unacc
vhigh,,5more,2,med,,,vhigh,high,5more,2,med,high,unacc
vhigh,high,5more,2,big,low,,vhigh,high,5more,2,big,low,unacc
vhigh,,5more,2,big,med,unacc,vhigh,high,5more,2,big,med,unacc
vhigh,high,5more,2,big,,unacc,vhigh,high,5more,2,big,high,unacc
vhigh,high,5more,4,small,low,unacc,vhigh,high,5more,4,small,low,unacc
vhigh,high,5more,4,small,,,vhigh,high,5more,4,small,med,unacc
vhigh,high,5more,4,small,high,unacc,vhigh,high,5more,4,small,high,unacc
,high,,4,med,low,unacc,vhigh,high,5more,4,med,low,unacc
vhigh,high,5more,4,med,med,unacc,vhigh,high,5more,4,med,med,unacc
vhigh,high,5more,4,med,high,unacc,vhigh,high,5more,4,med,high,unacc
vhigh,high,,4,big,,,vhigh,high,5more,4,big,low,unacc
vhigh,high,5more,4,big,med,,vhigh,high,5more,4,big,med,unacc
vhigh,high,5more,4,big,high,unacc,vhigh,high,5more,4,big,high,unacc
vhigh,high,5more,more,small,low,unacc,vhigh,high,5more,more,small,low,unacc
vhigh,,5more,more,small,med,unacc,vhigh,high,5more,more,small,med,unacc
vhigh,high,5more,more,small,high,unacc,vhigh,high,5more,more,small,high,unacc
vhigh,high,5more,more,med,low,,vhigh,high,5more,more,med,low,unacc
vhigh,,5more,more,med,med,,vhigh,high,5more,more,med,med,unacc
vhigh,high,5more,more,med,high,,vhigh,high,5more,more,med,high,unacc
vhigh,high,5more,more,big,,unacc,vhigh,high,5more,more,big,low,unacc
vhigh,high,5more,,,med,unacc,vhigh,high,5more,more,big,med,unacc
vhigh,,,more,big,high,unacc,vhigh,high,5more,more,big,high,unacc
vhigh,med,2,2,small,low,unacc,vhigh,med,2,2,small,low,unacc
vhigh,,2,2,,med,,vhigh,med,2,2,small,med,unacc
vhigh,,2,2,,high,unacc,vhigh,med,2,2,small,high,unacc
vhigh,med,2,,med,low,unacc,vhigh,med,2,2,med,low,unacc
vhigh,med,2,2,,med,,vhigh,med,2,2,med,med,unacc
vhigh,med,,2,med,high,unacc,vhigh,med,2,2,med,high,unacc
vhigh,med,2,2,big,low,unacc,vhigh,med,2,2,big,low,unacc
vhigh,med,2,2,,med,unacc,vhigh,med,2,2,big,med,unacc
,med,2,,big,high,unacc,vhigh,med,2,2,big,high,unacc
vhigh,med,,4,small,low,unacc,vhigh,med,2,4,small,low,unacc
vhigh,med,2,4,small,,unacc,vhigh,med,2,4,small,med,unacc
vhigh,med,2,4,,high,,vhigh,med,2,4,small,high,acc
vhigh,,2,4,med,low,unacc,vhigh,med,2,4,med,low,unacc
vhigh,,2,,med,med,unacc,vhigh,med,2,4,med,med,unacc
vhigh,med,2,4,med,high,,vhigh,med,2,4,med,high,acc
vhigh,med,2,4,,low,unacc,vhigh,med,2,4,big,low,unacc
vhigh,,2,4,big,med,acc,vhigh,med,2,4,big,med,acc
vhigh,med,2,4,,high,acc,vhigh,med,2,4,big,high,acc
,,2,,,low,unacc,vhigh,med,2,more,small,low,unacc
vhigh,med,2,more,small,med,unacc,vhigh,med,2,more,small,med,unacc
vhigh,med,2,,small,high,unacc,vhigh,med,2,more,small,high,unacc
vhigh,med,,,med,low,,vhigh,med,2,more,med,low,unacc
vhigh,,,more,med,,,vhigh,med,2,more,med,med,unacc
vhigh,,2,more,med,,acc,vhigh,med,2,more,med,high,acc
vhigh,med,2,more,big,low,,vhigh,med,2,more,big,low,unacc
vhigh,med,,more,big,,acc,vhigh,med,2,more,big,med,acc
,med,2,more,big,,acc,vhigh,med,2,more,big,high,acc
,med,3,2,small,low,unacc,vhigh,med,3,2,small,low,unacc
,,,,,med,,vhigh,med,3,2,small,med,unacc
vhigh,med,,2,small,high,unacc,vhigh,med,3,2,small,high,unacc
vhigh,med,3,2,med,low,unacc,vhigh,med,3,2,med,low,unacc
vhigh,med,3,,med,med,,vhigh,med,3,2,med,med,unacc
vhigh,med,,2,,high,unacc,vhigh,med,3,2,med,high,unacc
vhigh,med,3,,big,,unacc,vhigh,med,3,2,big,low,unacc
,,3,2,big,med,unacc,vhigh,med,3,2,big,med,unacc
vhigh,med,3,,big,high,unacc,vhigh,med,3,2,big,high,unacc
vhigh,med,3,,small,low,unacc,vhigh,med,3,4,small,low,unacc
vhigh,med,3,4,,med,,vhigh,med,3,4,small,med,unacc
,,3,,small,high,acc,vhigh,med,3,4,small,high,acc
vhigh,med,3,4,med,low,unacc,vhigh,med,3,4,med,low,unacc
vhigh,med,3,4,med,med,,vhigh,med,3,4,med,med,unacc
vhigh,med,3,,med,high,acc,vhigh,med,3,4,med,high,acc
vhigh,med,3,4,big,low,unacc,vhigh,med,3,4,big,low,unacc
vhigh,med,3,,big,med,acc,vhigh,med,3,4,big,med,acc
vhigh,med,3,,big,high,acc,vhigh,med,3,4,big,high,acc
vhigh,,3,more,,low,,vhigh,med,3,more,small,low,unacc
vhigh,med,3,more,small,med,unacc,vhigh,med,3,more,small,med,unacc
vhigh,,3,more,small,high,acc,vhigh,med,3,more,small,high,acc
vhigh,med,3,more,med,low,unacc,vhigh,med,3,more,med,low,unacc
vhigh,,3,,med,med,acc,vhigh,med,3,more,med,med,acc
,med,3,more,med,high,,vhigh,med,3,more,med,high,acc
vhigh,med,3,more,big,low,unacc,vhigh,med,3,more,big,low,unacc
vhigh,med,,more,big,med,acc,vhigh,med,3,more,big,med,acc
vhigh,med,3,more,big,high,acc,vhigh,med,3,more,big,high,acc
vhigh,med,4,2,small,,unacc,vhigh,med,4,2,small,low,unacc
vhigh,med,4,2,small,med,unacc,vhigh,med,4,2,small,med,unacc
vhigh,med,4,2,,high,unacc,vhigh,med,4,2,small,high,unacc
vhigh,med,,2,med,low,unacc,vhigh,med,4,2,med,low,unacc
vhigh,med,4,2,med,med,unacc,vhigh,med,4,2,med,med,unacc
vhigh,med,4,,med,high,unacc,vhigh,med,4,2,med,high,unacc
vhigh,med,4,2,big,low,,vhigh,med,4,2,big,low,unacc
vhigh,med,4,2,big,,,vhigh,med,4,2,big,med,unacc
vhigh,med,,2,big,,,vhigh,med,4,2,big,high,unacc
vhigh,med,,4,small,low,unacc,vhigh,med,4,4,small,low,unacc
,med,,,small,,unacc,vhigh,med,4,4,small,med,unacc
vhigh,,4,,,,acc,vhigh,med,4,4,small,high,acc
vhigh,med,4,4,med,low,unacc,vhigh,med,4,4,med,low,unacc
vhigh,,4,4,med,med,acc,vhigh,med,4,4,med,med,acc
vhigh,med,4,,med,,acc,vhigh,med,4,4,med,high,acc
vhigh,med,4,,big,low,unacc,vhigh,med,4,4,big,low,unacc
vhigh,med,4,4,big,med,,vhigh,med,4,4,big,med,acc
vhigh,med,4,4,big,,acc,vhigh,med,4,4,big,high,acc
vhigh,med,4,more,,low,unacc,vhigh,med,4,more,small,low,unacc
vhigh,,4,more,small,med,unacc,vhigh,med,4,more,small,med,unacc
vhigh,,4,more,small,high,,vhigh,med,4,more,small,high,acc
vhigh,,4,more,,,unacc,vhigh,med,4,more,med,low,unacc
,med,4,more,med,med,acc,vhigh,med,4,more,med,med,acc
vhigh,,,more,,high,acc,vhigh,med,4,more,med,high,acc
vhigh,med,4,more,,low,unacc,vhigh,med,4,more,big,low,unacc
,med,4,,big,med,acc,vhigh,med,4,more,big,med,acc
vhigh,med,4,more,,high,acc,vhigh,med,4,more,big,high,acc
,med,5more,2,,low,unacc,vhigh,med,5more,2,small,low,unacc
,med,,2,small,med,,vhigh,med,5more,2,small,med,unacc
vhigh,med,,2,small,high,unacc,vhigh,med,5more,2,small,high,unacc
,med,,2,med,low,unacc,vhigh,med,5more,2,med,low,unacc
vhigh,med,5more,2,med,med,,vhigh,med,5more,2,med,med,unacc
vhigh,med,5more,2,med,high,unacc,vhigh,med,5more,2,med,high,unacc
vhigh,med,,2,big,low,unacc,vhigh,med,5more,2,big,low,unacc
,med,5more,2,big,med,unacc,vhigh,med,5more,2,big,med,unacc
vhigh,med,5more,2,big,high,unacc,vhigh,med,5more,2,big,high,unacc
vhigh,med,5more,4,small,,unacc,vhigh,med,5more,4,small,low,unacc
vhigh,med,5more,4,small,med,unacc,vhigh,med,5more,4,small,med,unacc
vhigh,med,,,,high,,vhigh,med,5more,4,small,high,acc
vhigh,med,5more,4,med,low,,vhigh,med,5more,4,med,low,unacc
vhigh,med,5more,4,med,med,acc,vhigh,med,5more,4,med,med,acc
,med,5more,4,med,,acc,vhigh,med,5more,4,med,high,acc
vhigh,med,5more,4,big,,unacc,vhigh,med,5more,4,big,low,unacc
vhigh,med,,4,big,,acc,vhigh,med,5more,4,big,med,acc
,med,5more,4,big,,acc,vhigh,med,5more,4,big,high,acc
vhigh,med,5more,more,small,low,unacc,vhigh,med,5more,more,small,low,unacc
,med,5more,more,small,med,unacc,vhigh,med,5more,more,small,med,unacc
vhigh,med,5more,more,small,high,acc,vhigh,med,5more,more,small,high,acc
vhigh,med,5more,,med,low,unacc,vhigh,med,5more,more,med,low,unacc
vhigh,med,5more,more,med,med,,vhigh,med,5more,more,med,med,acc
vhigh,med,5more,,med,high,acc,vhigh,med,5more,more,med,high,acc
,,,more,big,,unacc,vhigh,med,5more,more,big,low,unacc
vhigh,med,5more,more,big,,acc,vhigh,med,5more,more,big,med,acc
,med,,more,big,high,acc,vhigh,med,5more,more,big,high,acc
vhigh,low,2,2,,low,unacc,vhigh,low,2,2,small,low,unacc
vhigh,low,2,,small,,unacc,vhigh,low,2,2,small,med,unacc
vhigh,low,2,2,small,high,unacc,vhigh,low,2,2,small,high,unacc
vhigh,low,2,2,med,low,unacc,vhigh,low,2,2,med,low,unacc
,low,2,,med,med,unacc,vhigh,low,2,2,med,med,unacc
vhigh,low,2,2,med,high,unacc,vhigh,low,2,2,med,high,unacc
vhigh,low,2,2,big,low,unacc,vhigh,low,2,2,big,low,unacc
vhigh,low,2,,big,med,unacc,vhigh,low,2,2,big,med,unacc
vhigh,low,2,2,big,,unacc,vhigh,low,2,2,big,high,unacc
vhigh,low,2,4,small,low,unacc,vhigh,low,2,4,small,low,unacc
vhigh,low,2,4,small,med,unacc,vhigh,low,2,4,small,med,unacc
vhigh,low,2,4,small,high,acc,vhigh,low,2,4,small,high,acc
vhigh,low,2,,med,low,,vhigh,low,2,4,med,low,unacc
vhigh,,2,,med,med,unacc,vhigh,low,2,4,med,med,unacc
vhigh,low,2,4,,high,acc,vhigh,low,2,4,med,high,acc
vhigh,,2,4,,,unacc,vhigh,low,2,4,big,low,unacc
vhigh,low,2,4,big,med,acc,vhigh,low,2,4,big,med,acc
vhigh,low,2,,big,high,acc,vhigh,low,2,4,big,high,acc
vhigh,low,,more,small,low,unacc,vhigh,low,2,more,small,low,unacc
vhigh,low,2,more,small,med,unacc,vhigh,low,2,more,small,med,unacc
vhigh,low,,more,small,high,unacc,vhigh,low,2,more,small,high,unacc
,low,2,,med,low,unacc,vhigh,low,2,more,med,low,unacc
vhigh,low,2,more,med,med,,vhigh,low,2,more,med,med,unacc
,low,2,,med,high,acc,vhigh,low,2,more,med,high,acc
vhigh,low,,more,big,low,unacc,vhigh,low,2,more,big,low,unacc
vhigh,low,2,more,,med,acc,vhigh,low,2,more,big,med,acc
,low,2,more,big,,acc,vhigh,low,2,more,big,high,acc
vhigh,low,3,2,,low,unacc,vhigh,low,3,2,small,low,unacc
vhigh,low,,,,med,unacc,vhigh,low,3,2,small,med,unacc
vhigh,,3,2,small,high,unacc,vhigh,low,3,2,small,high,unacc
vhigh,low,3,,med,low,unacc,vhigh,low,3,2,med,low,unacc
vhigh,low,3,2,med,med,unacc,vhigh,low,3,2,med,med,unacc
vhigh,low,3,2,med,high,unacc,vhigh,low,3,2,med,high,unacc
,low,3,2,big,,unacc,vhigh,low,3,2,big,low,unacc
vhigh,low,3,2,big,med,unacc,vhigh,low,3,2,big,med,unacc
vhigh,,3,2,,high,unacc,vhigh,low,3,2,big,high,unacc
vhigh,,3,4,small,low,unacc,vhigh,low,3,4,small,low,unacc
vhigh,low,,4,small,med,,vhigh,low,3,4,small,med,unacc
vhigh,low,3,4,small,high,acc,vhigh,low,3,4,small,high,acc
vhigh,low,3,,,low,unacc,vhigh,low,3,4,med,low,unacc
vhigh,low,3,4,med,,unacc,vhigh,low,3,4,med,med,unacc
,low,3,4,med,high,acc,vhigh,low,3,4,med,high,acc
,low,3,4,big,,unacc,vhigh,low,3,4,big,low,unacc
vhigh,,3,4,big,med,acc,vhigh,low,3,4,big,med,acc
vhigh,low,3,4,,high,acc,vhigh,low,3,4,big,high,acc
vhigh,low,3,more,small,,unacc,vhigh,low,3,more,small,low,unacc
,low,3,more,small,med,unacc,vhigh,low,3,more,small,med,unacc
