AREA,PERIMETER,GEO0003_,GEO0003_ID,ACREAGE,PERCENT,KMDANAME,FAV_CODE,FAV,VALUE,observed
0.0,0.067,12.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.308,13.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.124,14.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.05,15.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.194,16.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.008,0.439,17.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.077,18.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.176,19.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.224,20.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.091,21.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.166,22.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.005,0.543,23.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.12,24.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.094,25.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.045,26.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.082,27.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.014,0.547,28.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.155,29.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.259,30.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.193,31.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.074,32.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.254,33.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.061,34.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.514,35.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.106,36.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.121,37.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.061,38.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.07,39.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.35,40.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.225,41.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.089,42.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.309,43.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.26,44.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.048,0.919,45.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.074,46.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.255,48.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.256,49.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.27,50.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.169,51.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.122,53.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.004,0.513,54.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.301,55.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.009,0.376,56.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.016,0.524,57.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.016,0.466,58.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.195,59.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.122,60.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.143,61.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.147,62.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.372,63.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.223,64.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.303,65.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.067,66.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.186,67.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.004,0.258,68.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.028,1.18,69.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.012,0.74,70.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.143,71.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.182,72.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.205,73.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.009,0.387,74.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.015,0.497,75.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.213,76.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.006,0.317,77.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.238,78.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.128,79.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.007,0.492,80.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.11,81.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.067,82.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.005,0.289,83.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.011,0.563,84.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.005,0.5,85.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.145,86.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.11,87.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.185,88.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.12,89.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.162,90.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.199,91.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.07,92.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.253,93.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.324,94.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.045,95.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.269,96.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.407,97.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.233,98.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.282,99.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.14,100.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.01,0.66,101.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.279,102.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.431,105.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.52,106.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.056,107.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.282,108.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.126,109.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.015,0.862,110.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.156,111.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.193,112.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.059,113.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.1,114.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.066,115.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.007,0.595,116.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.007,0.472,119.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.193,120.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.167,121.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.069,122.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.209,123.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.086,124.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.009,0.443,127.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.274,128.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.285,129.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.219,130.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.206,131.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.249,132.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.067,133.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.012,0.813,134.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.439,135.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.019,0.612,136.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.247,138.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.084,139.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.007,0.549,140.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.006,0.359,142.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.004,0.337,143.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.19,144.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.352,145.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.101,146.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.064,147.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.056,148.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.075,149.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.009,0.781,151.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.134,152.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.079,153.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.06,154.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.28,156.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.005,0.278,157.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.14,158.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.107,159.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.236,160.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.157,161.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.259,162.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.004,0.526,163.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.399,164.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.162,165.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.27,166.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.009,0.858,167.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.243,168.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.172,170.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.055,171.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.014,0.949,172.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.194,173.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.064,174.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.21,175.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.009,0.41,177.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.003,0.22,178.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.24,179.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.117,180.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.078,181.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.093,182.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.095,183.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.094,184.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.285,185.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.049,186.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.129,187.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.074,188.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.105,189.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.05,190.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.135,191.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.136,192.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.082,193.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.084,194.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.336,195.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.112,196.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.084,197.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.057,198.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.101,199.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.004,0.354,200.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.12,201.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.06,202.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.061,205.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.056,206.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.006,0.313,208.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.012,0.876,209.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.101,210.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.075,211.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.081,212.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.177,213.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.222,215.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.007,0.407,218.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.002,0.203,220.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.107,221.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.17,222.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.004,0.384,223.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.099,224.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.211,225.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.006,0.285,226.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.065,227.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.115,228.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.122,229.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.119,230.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.005,0.542,231.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.162,232.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.206,233.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.116,234.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.077,235.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.068,237.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.086,238.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.006,0.526,240.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.016,241.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.173,242.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.159,243.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.001,0.09,244.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.133,245.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.0,0.081,246.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.0,0.079,248.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.101,250.0,3.0,0.0,0.0,,3,HIGH,0.0,
0.006,0.307,253.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.009,0.592,256.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.145,257.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.305,258.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.003,0.216,263.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.001,0.095,264.0,2.0,0.0,0.0,,2,MODERATE,0.0,
0.002,0.173,266.0,2.0,0.0,0.0,,2,MODERATE,0.0,
