;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
72;7.7;0.69;0.22;;;;94.0;;3.31;;;5.0
73;;0.675;;;;11.0;43.0;;3.31;0.53;9.2;4.0
74;9.7;;;;0.094;28.0;83.0;0.9984;;;;
75;8.8;0.41;0.64;;0.093;9.0;42.0;0.9986;;0.66;10.5;5.0
76;;0.41;0.64;;0.093;9.0;;0.9986;3.54;0.66;10.5;5.0
77;6.8;;0.0;;0.104;;;0.9966;;0.55;10.7;6.0
78;6.7;0.75;;;;12.0;;;;0.52;10.1;
79;8.3;;;;0.08;;;0.9972;;;;4.0
80;6.2;0.45;;;;3.0;;;;;;5.0
81;7.8;;;;0.464;;67.0;0.9974;;1.28;;5.0
82;7.4;;0.47;;0.086;21.0;73.0;;;;9.1;5.0
83;;0.67;;1.8;0.401;16.0;51.0;0.9969;3.16;;;
84;;;0.48;;0.069;18.0;;;;0.78;;
85;6.9;0.55;0.15;;;;40.0;0.9961;;0.59;10.1;5.0
86;8.6;0.49;0.28;;0.11;20.0;136.0;0.9972;;1.95;9.9;
87;;;;;0.062;9.0;;0.9966;3.39;0.64;9.6;
88;9.3;;0.44;2.1;;;;0.9978;3.14;1.22;9.5;
89;;0.62;;;0.076;;24.0;;;;;
90;7.9;;;1.9;0.079;;140.0;;;;;5.0
91;8.6;0.49;0.28;;;20.0;;;;1.95;;6.0
92;;;0.29;;;;;0.9972;2.93;;9.8;
93;7.7;;0.26;;0.062;;31.0;;3.39;;;
94;;;0.04;;;41.0;;;;0.48;10.5;4.0
95;;0.6;0.17;2.3;;;106.0;0.9932;3.85;;;
96;6.8;;;3.0;0.102;;;0.9965;;0.56;;5.0
97;7.0;0.5;;;;;;;;0.63;;5.0
98;7.6;;;2.5;0.079;5.0;10.0;0.9967;;;;5.0
99;;0.545;0.18;1.9;0.08;;35.0;0.9972;;;9.0;6.0
100;;0.61;;2.1;;11.0;;;;0.61;;6.0
101;;;0.3;1.9;;;22.0;0.9959;;;10.4;
102;8.1;;;1.9;0.08;13.0;;0.9972;3.3;;;
103;;;;;0.077;12.0;;0.9967;3.29;;;
104;;0.49;0.24;;;5.0;36.0;;;0.48;9.4;5.0
105;8.1;;;;;;;0.9967;3.29;;9.2;
106;;;;1.7;0.467;18.0;;;3.08;;;5.0
107;6.2;;0.31;1.7;;;64.0;;3.46;;9.3;5.0
108;;;0.53;2.5;0.091;;80.0;;3.37;;;
109;;;0.52;2.0;0.122;37.0;;0.9969;;;;
110;;0.56;0.19;1.8;0.104;;47.0;0.9964;3.19;0.93;9.5;
111;8.4;;;2.2;;;;0.9964;3.15;;;
112;;;;2.2;0.085;;;;3.15;;9.8;
113;;0.31;0.44;;;;;;3.32;;;6.0
114;7.8;0.56;;;0.104;12.0;47.0;;3.19;;9.5;5.0
115;9.4;0.4;0.31;2.2;0.09;13.0;62.0;;;;;6.0
116;;;;1.9;0.077;;40.0;0.9978;;;10.0;
117;7.8;;;;;;28.0;0.997;3.37;;9.4;
118;;;0.04;;0.119;14.0;56.0;;3.21;0.6;;6.0
119;;;0.08;1.8;0.097;22.0;89.0;;;0.54;9.2;
120;;1.07;;;0.178;;89.0;0.9962;;;;
121;8.8;;;2.2;0.119;14.0;;0.9962;3.21;;10.9;6.0
122;;;;2.5;0.075;;;;;;9.2;
123;8.0;0.71;0.0;;;11.0;34.0;0.9976;;0.53;9.5;
124;7.8;;0.17;1.6;;21.0;;0.996;;;9.5;5.0
125;9.0;0.62;;;;;90.0;0.9984;;0.7;9.4;5.0
126;;;;;;;12.0;;3.53;0.49;;5.0
127;8.1;;;;0.082;;12.0;;;;10.9;
128;;;0.16;;;3.0;16.0;;3.42;0.92;10.5;
129;;;0.15;;;6.0;19.0;0.9955;3.42;0.57;;5.0
130;;0.745;;2.0;;30.0;134.0;;;;;5.0
131;5.6;0.5;;2.3;0.049;;99.0;0.9937;3.63;;13.0;5.0
132;;0.5;;;;17.0;99.0;;;0.63;;5.0
133;6.6;0.5;0.01;1.5;;;;;;;;6.0
134;7.9;1.04;0.05;2.2;;;;0.9959;3.22;0.55;9.9;
135;8.4;;0.11;;0.09;;63.0;;3.19;;9.6;
136;;0.715;;1.8;0.089;;52.0;;3.23;0.77;;5.0
137;7.2;;0.36;;0.081;;;;;;9.2;5.0
138;;0.56;;;;15.0;;;;0.54;;5.0
139;7.8;0.56;;;;17.0;;0.9962;;0.54;9.5;5.0
140;8.4;;0.11;;;;63.0;;;;;5.0
141;8.3;0.715;0.15;;;10.0;;0.9968;3.23;0.77;9.5;
142;;0.34;0.0;1.8;;27.0;;0.9916;3.68;;;
143;6.3;;0.08;1.7;;;;0.9954;3.34;;;
144;;0.34;0.0;1.8;;;63.0;;3.68;0.79;14.0;
145;8.1;0.67;0.55;1.8;;;;;3.17;0.62;9.4;
146;;;0.02;;;21.0;;;;;;5.0
147;;;;;0.236;10.0;;;3.11;;9.3;
148;;0.49;;;0.074;12.0;;;;0.58;;6.0
149;;0.4;;2.8;;;;0.9975;;0.61;10.5;
150;7.3;;;;;5.0;;;3.33;;10.3;
151;;0.52;;3.4;0.61;32.0;;0.9996;2.74;;;
152;;;0.03;;0.095;;99.0;0.995;;;;
153;;;0.03;1.8;0.095;;;;;;10.1;5.0
154;7.1;;0.42;;;;129.0;0.9973;3.42;;10.5;
155;;0.43;;5.5;;;128.0;;3.42;;10.5;5.0
156;7.1;;;;;;;;;0.72;10.5;
157;;0.43;;;;;;0.9973;3.42;0.71;10.5;
158;;0.68;0.0;;;;;0.9969;;0.5;9.3;
159;6.8;;;1.9;;18.0;86.0;0.9968;;0.57;9.3;6.0
160;;0.95;;;;;20.0;;3.2;0.56;9.6;
161;7.6;;0.02;;0.072;;;0.9965;;1.08;9.2;
162;;;0.04;;;;31.0;0.9964;3.33;0.56;;6.0
163;;0.6;0.26;;0.07;36.0;;0.9982;3.37;;;
164;7.3;0.59;;;0.07;;;0.9981;3.37;0.49;;
165;;0.63;0.48;1.7;0.1;;96.0;0.9961;;;;5.0
166;;;;2.1;;;101.0;0.9956;3.34;;10.2;
167;;0.55;0.03;;;;;0.9956;;0.48;9.0;
168;;0.63;;2.1;0.089;11.0;;;;0.55;10.4;6.0
169;;0.705;;1.8;;15.0;63.0;;3.0;1.59;9.5;
170;7.9;0.885;0.03;1.8;;4.0;8.0;;;0.33;;4.0
171;;;;;0.073;;18.0;0.9972;;0.61;9.2;
172;8.0;;0.17;2.0;0.073;6.0;;0.9972;;0.61;9.2;
173;7.4;;0.05;1.9;;24.0;;0.9961;;0.57;;6.0
174;7.3;0.38;;2.0;0.08;;;0.9961;;0.47;9.5;
175;6.9;0.5;;1.5;0.085;;49.0;;;;;
176;;0.38;;;0.08;7.0;35.0;0.9961;3.33;0.47;;
177;7.5;;;2.3;0.087;;;;3.58;;;6.0
178;;;0.0;;;7.0;20.0;;3.48;0.56;;5.0
179;;0.61;;2.4;;;42.0;0.9969;;;;5.0
180;;;;;;;;0.9969;;0.59;;5.0
181;;;0.49;;0.27;23.0;110.0;;3.12;;9.3;5.0
182;;0.73;0.02;2.5;0.076;;;;3.44;0.52;9.3;
183;;;0.2;1.8;;;;0.9971;3.54;;;
184;;0.62;;1.9;;;62.0;0.997;3.52;0.58;9.3;6.0
185;;;;2.0;0.111;;;0.9971;;0.53;;
186;;0.39;0.48;;;14.0;67.0;;;0.55;;5.0
187;;0.705;0.1;2.6;;;26.0;;;0.49;9.7;
188;;;0.33;2.0;;15.0;143.0;0.9968;3.2;;;
189;7.9;0.49;;;;;;0.9968;;0.55;;5.0
190;;;;2.9;;;127.0;0.9976;;0.62;9.4;
191;;;0.25;;0.074;;49.0;0.9974;3.57;0.62;;
192;;;;3.8;0.099;;126.0;;;0.61;;
193;;;;2.2;0.071;;28.0;;3.28;0.55;9.7;5.0
194;7.6;0.55;;;0.071;7.0;28.0;0.9964;;;;5.0
195;7.8;;;;;24.0;120.0;0.9968;3.25;0.54;;
196;;;0.3;;0.074;;55.0;0.9968;;;;5.0
197;11.5;;;;;;;0.9981;;0.97;10.1;
198;5.4;0.835;;;0.046;;;0.9924;;0.85;;
199;;;0.06;;0.061;;31.0;;3.51;0.43;11.4;4.0
200;;0.32;0.47;;0.056;9.0;24.0;;3.22;;;
201;8.8;0.37;;;;;145.0;;3.04;;9.3;5.0
202;6.8;;0.11;1.5;;16.0;;;3.36;;;
203;7.0;;0.35;1.6;;;39.0;;;0.55;9.2;5.0
204;7.0;0.43;0.36;;0.089;;37.0;0.99615;3.34;;9.2;
205;12.8;0.3;;2.6;;9.0;;0.9994;;0.77;;7.0
206;;0.3;;;;;28.0;0.9994;;0.77;10.8;7.0
207;7.8;;;1.8;0.069;;120.0;0.99625;;0.53;9.3;5.0
208;7.8;;;;;;;0.9966;;0.67;;5.0
209;11.0;0.3;0.58;;0.054;7.0;19.0;;3.31;0.88;;7.0
210;;0.53;0.6;2.0;;;;0.99585;3.3;0.86;;
211;;0.725;0.24;2.8;0.083;10.0;62.0;;;;10.0;
212;11.6;;;2.1;;;;0.998;;;10.2;
213;8.2;;;;0.06;;65.0;;;0.43;10.1;
214;;;0.08;;;;41.0;0.9974;;;9.8;6.0
215;;0.49;;;;;121.0;0.9974;3.34;0.76;;5.0
216;;;;;;13.0;49.0;0.9962;3.14;0.57;;
217;;;0.22;2.2;0.072;;;0.9967;;;9.1;5.0
218;7.5;;0.19;;0.076;;44.0;0.9957;3.39;0.54;;
219;;;0.33;2.4;0.08;24.0;144.0;0.99655;;;9.5;
220;7.8;;;;;24.0;;0.9964;;0.59;;6.0
221;;;;2.0;;;72.0;0.9957;3.15;;;
222;6.8;0.61;;1.5;0.057;;;0.99525;;0.6;9.5;5.0
223;;;;;0.083;;28.0;0.99815;3.28;;;6.0
224;8.4;0.635;;2.0;0.089;15.0;55.0;;3.31;;;
225;;0.43;;;0.073;29.0;63.0;0.99615;;;;
226;;0.59;;2.0;0.337;;;0.9964;3.04;1.61;;
227;;;0.14;;;9.0;;0.9984;3.39;;9.8;
228;;;0.25;;0.073;29.0;;;;;10.5;
229;;0.52;;2.6;;10.0;37.0;0.99685;3.46;;11.0;
230;5.2;0.48;0.04;;0.054;;106.0;;3.54;;12.2;7.0
231;8.0;0.38;;1.8;;12.0;;;3.37;;;
232;;;;;;;58.0;0.998;;0.7;;6.0
233;;;0.25;2.6;;10.0;37.0;0.99685;3.46;0.5;;5.0
234;8.2;1.0;;2.3;;;;0.99685;3.32;0.55;;
235;;;0.0;1.9;;;38.0;0.99675;3.37;;9.0;
236;7.2;0.63;0.0;1.9;;;;;;0.58;9.0;
237;7.2;;0.0;1.9;0.097;;;0.99675;3.37;;9.2;6.0
238;7.2;;0.0;;0.097;;38.0;0.99675;3.37;;;6.0
239;;;0.09;2.3;0.065;7.0;37.0;;;0.55;;6.0
240;8.9;;0.37;;;5.0;62.0;0.9971;;;;
241;12.0;0.38;0.56;;;;24.0;0.99925;3.14;;10.9;
242;7.7;0.58;0.1;1.8;0.102;;109.0;0.99565;;0.49;9.8;6.0
243;;0.21;;;0.075;;24.0;1.00005;;0.84;9.2;
244;;;;2.2;;;;;3.07;0.84;;7.0
245;7.3;0.66;0.0;2.0;;;23.0;0.9983;3.61;;;
246;;0.68;;1.9;;;;;3.38;0.52;9.5;5.0
247;8.2;;0.17;;;11.0;73.0;;;;9.3;
248;;;0.06;;0.074;9.0;39.0;;3.35;0.48;9.8;
249;7.3;;0.0;2.0;;;23.0;0.9983;;0.96;;6.0
250;;;;;;;37.0;0.9985;3.22;;10.0;6.0
251;7.1;;;1.8;0.074;16.0;34.0;;3.47;0.7;9.9;
252;11.1;0.35;0.48;;;5.0;21.0;0.9986;3.17;;;
253;;;0.42;1.9;0.092;8.0;86.0;;3.23;;9.5;5.0
254;7.1;0.6;;;;16.0;;0.9972;;;9.9;
255;8.0;;0.23;3.2;;;;0.99675;3.26;0.57;;5.0
256;9.4;0.34;;;;;13.0;0.998;3.22;0.62;;5.0
257;;0.695;;2.1;0.075;12.0;56.0;0.9968;;0.67;;5.0
258;;;0.76;1.8;;;;;3.06;1.26;9.4;
259;10.0;;;2.6;0.085;14.0;33.0;;3.36;0.8;;
260;7.9;;0.23;;0.077;;;;;0.65;;
261;;0.975;0.04;2.0;;;;;3.35;0.6;9.4;
262;;0.52;;;0.07;10.0;;;;0.57;;
263;7.9;;0.23;;0.077;;49.0;;;0.67;;
264;12.5;0.56;;2.4;0.064;;27.0;0.9999;3.08;0.87;10.9;
265;11.8;0.26;0.52;1.8;;6.0;;0.9968;;;10.2;7.0
266;8.1;;0.0;3.3;0.096;26.0;;;3.6;;9.8;
267;7.9;0.35;0.46;;0.078;;37.0;;;;;8.0
268;;0.54;;;0.077;;27.0;;;0.91;;6.0
269;;0.18;0.51;4.0;;;;;3.28;0.97;;6.0
270;7.9;;;4.0;0.087;;;0.9965;;0.67;10.7;
271;11.5;0.18;;;0.104;;23.0;;;0.97;;6.0
272;;;;;;;65.0;0.99935;;0.78;10.1;
273;;0.715;0.2;;0.076;10.0;38.0;;3.31;0.64;9.4;5.0
274;7.5;0.65;;;0.088;;;;3.38;0.77;;
275;7.9;0.545;;;;;61.0;;;0.67;;
276;;0.54;0.04;3.0;;;;0.9987;;0.91;;6.0
277;;0.18;0.51;4.0;0.104;;;0.9996;3.28;;;6.0
278;;;0.45;6.4;0.073;5.0;;;3.23;;;
279;8.9;;0.32;5.6;;10.0;;;3.38;;10.5;
280;;0.26;0.44;3.6;;6.0;19.0;0.9986;;0.82;9.3;6.0
281;7.7;;;;;5.0;10.0;;;1.08;9.9;7.0
282;7.6;;;3.0;;12.0;;;3.36;0.57;;
283;;;0.32;;;;;0.9991;3.38;;10.5;
284;9.9;0.59;0.07;;;;;1.00015;;;;5.0
285;;0.59;;;0.102;;71.0;1.00015;;;9.8;
286;;;;;;;;;3.1;0.76;;
287;;;;3.0;0.092;;53.0;0.9967;3.37;0.7;;
288;8.7;;;;0.091;;49.0;0.9976;3.34;0.86;10.6;
289;11.6;0.42;0.53;;0.105;;98.0;;3.2;0.95;9.2;5.0
290;;0.52;;2.5;;20.0;;0.9976;3.34;;10.6;
291;;;0.48;2.0;0.343;6.0;;0.9979;;;;5.0
292;10.4;;0.23;;0.091;18.0;;0.9994;;0.64;10.3;
293;;0.36;;;0.098;;16.0;;3.41;;;6.0
294;;;;;;;53.0;;;;9.5;6.0
295;10.8;;;2.5;;5.0;27.0;;;0.64;;5.0
296;10.6;0.83;;;0.086;26.0;70.0;0.9981;3.16;0.52;9.9;
297;7.1;0.63;0.06;2.0;;8.0;29.0;0.99855;3.67;;9.6;5.0
298;;0.65;;2.3;;5.0;31.0;0.9993;;;9.7;5.0
299;;0.67;0.06;;0.08;8.0;33.0;0.99845;;0.71;9.6;5.0
300;;;;2.6;0.086;20.0;;0.9965;;;10.7;6.0
301;;0.18;;;0.068;;;0.9973;;;;
302;;;0.12;;;12.0;;;3.51;;;
303;7.4;0.67;;;;;;;;;9.5;5.0
304;;0.65;;;0.112;12.0;90.0;0.9973;3.2;0.52;9.2;5.0
305;;0.53;;2.5;0.063;;25.0;0.9998;;;9.3;
306;7.6;;0.32;;0.082;;54.0;;3.36;0.52;;5.0
307;10.3;;0.42;;0.213;6.0;14.0;0.9994;3.19;;;6.0
308;10.3;0.43;0.44;;;5.0;;;3.19;0.63;;
309;;0.29;;;;9.0;30.0;;3.41;;9.5;6.0
310;10.3;0.53;0.48;2.5;0.063;6.0;25.0;;;;;
311;;0.53;0.24;;0.072;15.0;105.0;0.996;3.27;0.54;9.4;
312;;;0.31;;;;98.0;0.99815;;;9.5;6.0
313;;0.47;0.3;;0.076;30.0;;0.9976;3.3;0.53;9.4;5.0
314;7.4;;0.29;2.6;;;72.0;0.99645;;;11.0;
315;;;;;0.096;20.0;;;;0.65;11.0;
316;;;0.23;3.4;0.102;;;;3.3;;10.1;5.0
317;9.6;0.77;;2.9;0.082;;74.0;;;0.64;;6.0
318;;;0.39;3.2;0.083;;;0.9989;3.37;0.71;11.5;7.0
319;;0.77;;;;30.0;74.0;;;0.64;10.4;6.0
320;;0.66;0.39;3.2;;;59.0;;3.37;0.71;11.5;7.0
321;9.3;0.61;;;0.09;;87.0;;3.24;0.62;9.7;5.0
322;7.8;0.62;0.05;;;;;;3.29;;9.3;5.0
323;;0.59;;2.8;;;;;;0.7;9.5;6.0
324;10.0;0.49;0.2;11.0;;13.0;50.0;;;;9.2;
325;;0.49;0.2;11.0;;;50.0;1.0015;3.16;;;
326;11.6;;;;;6.0;14.0;0.9978;3.05;0.74;;7.0
327;10.3;0.44;0.5;4.5;;;;;;0.83;;5.0
328;13.4;;;;0.082;;21.0;1.0002;3.16;;9.7;6.0
329;;;0.39;2.0;;7.0;;0.9981;3.18;0.62;;5.0
330;10.2;0.36;0.64;;;10.0;;0.998;3.23;;12.5;6.0
331;;0.36;0.64;;0.122;10.0;41.0;0.998;3.23;;;6.0
332;8.0;;;;0.066;21.0;;;3.22;;;
333;;0.56;;2.1;0.105;16.0;44.0;;3.13;0.52;;
334;;;0.01;2.5;;;;;3.34;0.74;;7.0
335;11.9;0.695;;;;;21.0;0.9992;3.17;;12.2;
336;;0.43;;1.9;0.052;6.0;;;3.35;0.7;;6.0
337;;0.43;0.32;2.8;0.08;29.0;58.0;0.9974;;0.64;;
338;12.4;;;3.0;;28.0;99.0;;3.16;1.0;11.5;6.0
339;;;;;0.082;;;0.9997;;;;
340;12.2;;0.5;2.4;;10.0;;1.0;;1.18;9.2;
341;;0.42;;2.7;0.065;;;0.9972;3.21;0.87;;6.0
342;;0.39;0.47;1.8;;;14.0;0.9982;;;;
343;;;0.47;;;;14.0;;;;;6.0
344;11.9;;;;;6.0;32.0;;3.12;;10.7;6.0
345;7.0;;0.0;1.9;;40.0;63.0;;;;9.9;
346;6.6;;;2.7;0.072;;34.0;0.9955;3.58;;12.3;7.0
347;13.8;0.49;;;0.093;6.0;;0.9986;;0.93;;6.0
348;9.6;0.56;;;;15.0;46.0;;;0.92;;6.0
349;9.1;;0.0;;;;;0.9994;3.36;;9.4;
350;10.7;;0.22;2.7;0.107;17.0;34.0;;3.28;0.98;9.9;6.0
351;;0.795;;;;11.0;;;3.35;0.83;9.4;
352;;0.665;;;;8.0;;0.9974;3.27;0.73;9.3;5.0
353;;0.53;0.79;;;;77.0;;;;13.0;5.0
354;;;0.4;;0.066;;;0.9912;3.25;;11.9;
355;;;0.01;2.4;0.078;17.0;32.0;0.9955;;0.61;12.8;
356;11.5;;0.52;;0.08;;55.0;;;;;5.0
357;10.5;0.42;;;;12.0;29.0;0.997;;;;7.0
358;;0.43;;;;10.0;;1.0;3.15;0.85;;7.0
359;;0.38;;2.6;;10.0;;1.001;3.17;;;
360;8.2;;;;0.099;;81.0;0.9973;;;;
361;8.6;0.45;0.31;2.6;0.086;;;;3.37;;;
362;11.9;0.58;;2.5;;;37.0;0.9992;3.05;;10.0;5.0
363;;;;;0.071;6.0;;;2.99;;;5.0
364;12.8;;0.66;5.8;0.083;7.0;42.0;;3.07;;;7.0
365;10.0;0.42;0.5;;;7.0;;;;0.93;11.8;6.0
366;;;;5.8;;;42.0;;;0.73;;7.0
367;;0.575;;;;11.0;24.0;1.0;;;9.0;
368;10.3;0.34;;;;15.0;75.0;0.9998;;;9.4;5.0
369;;;0.53;;;6.0;;;;1.13;;
370;;;;;0.063;;63.0;;3.57;0.78;9.9;5.0
371;;;;1.6;0.056;;25.0;0.9967;3.32;;8.7;6.0
372;9.1;;0.48;1.8;0.067;;46.0;;3.32;;;
373;;0.55;0.22;;0.106;12.0;72.0;;3.05;0.63;9.2;5.0
374;;;;;0.089;6.0;47.0;;3.01;0.81;;6.0
375;;;0.71;;;;;0.9984;3.01;0.83;11.8;7.0
376;;0.45;0.5;;;19.0;;1.0003;3.26;1.11;;
377;9.4;;;2.4;;6.0;18.0;;;;;7.0
378;;0.625;;;;;;;3.11;;13.3;6.0
379;8.3;0.42;0.38;2.5;;;60.0;0.9979;3.31;;10.8;6.0
380;;;;2.0;;11.0;27.0;;3.21;;;
381;;0.415;;;0.085;17.0;43.0;;;;10.0;6.0
382;;0.26;;2.0;0.08;11.0;;;;;9.4;
383;8.3;;;;0.08;11.0;;;;0.8;9.4;6.0
384;7.7;0.51;0.28;;;;;0.998;3.42;;;5.0
385;7.4;0.63;;2.4;;;;0.9979;3.43;0.76;9.7;6.0
386;;0.54;;2.0;;;48.0;0.9981;;0.74;9.2;
387;;0.66;;;0.079;;;0.9972;;;;6.0
388;7.8;;;;;;;;3.43;;;6.0
389;9.6;;0.31;;0.096;;49.0;0.9982;3.19;;;7.0
390;5.6;;;1.4;;;;0.9924;3.56;;12.9;8.0
391;;;0.68;2.9;0.085;;43.0;;3.06;;;6.0
392;9.5;;0.52;2.0;;;26.0;0.998;;0.51;;5.0
393;8.4;0.665;0.61;;;;95.0;;3.16;0.54;;5.0
394;;;;2.3;0.063;6.0;25.0;0.9997;3.03;0.57;9.9;5.0
395;12.0;;;;0.066;7.0;;;3.22;0.6;13.0;
396;6.6;;0.02;;0.122;;124.0;0.9994;;0.53;9.9;5.0
397;;;;;0.087;13.0;49.0;;;0.65;;
398;;;;2.6;0.087;13.0;49.0;;3.18;0.65;11.0;6.0
399;;0.765;;2.3;0.064;9.0;;;3.1;;;
400;6.6;;0.02;;;;124.0;0.9994;3.47;0.53;9.9;5.0
401;7.7;;;1.7;0.059;;;0.9949;;0.47;10.8;6.0
402;12.2;0.48;;;0.085;;64.0;;;0.61;;
403;;;;2.7;;;41.0;0.9994;3.15;;;6.0
404;;;0.05;;;15.0;27.0;0.9974;;0.61;9.1;
405;;;0.46;;;;;0.9966;;;10.1;
406;;;0.47;2.5;0.063;;;;3.24;0.65;;
407;12.0;0.39;0.66;;0.093;12.0;;;3.18;0.63;;
408;;;;3.7;;;16.0;;3.19;0.7;;6.0
409;;0.46;;4.5;0.07;;49.0;0.9981;;0.57;;4.0
410;;0.43;;2.5;;;86.0;;;0.62;;
411;9.1;;;2.4;0.08;23.0;78.0;0.9987;3.38;0.62;;5.0
412;;0.735;;;;;;0.9966;;;9.3;5.0
413;;0.4;;6.7;0.097;;;;3.27;;;
414;8.8;0.52;0.34;;0.087;24.0;;;3.26;;;5.0
415;;;;6.6;;31.0;134.0;1.0014;3.32;1.07;;
416;10.6;0.48;;;;6.0;;;3.26;;11.7;6.0
417;7.0;0.58;;1.9;;;124.0;0.9956;3.44;;;5.0
418;11.9;0.38;;2.0;;;20.0;;3.24;0.76;10.4;6.0
419;;0.77;0.0;1.8;;34.0;52.0;;;;;
420;;;0.33;;0.089;;;;;;;
421;;0.84;0.03;;;32.0;48.0;0.9952;3.52;;12.3;7.0
422;;;0.2;;0.047;15.0;;0.9955;;;;5.0
423;;;;;;;24.0;0.9978;;;11.0;
424;7.7;0.96;0.2;2.0;;;;0.9955;3.36;0.44;10.9;5.0
